Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
MathArena Apex,https://matharena.ai/?view=problem&comp=apex--apex_2025,https://arxiv.org/abs/2505.23281,"MathArena Apex is a high-difficulty math benchmark focused on advanced reasoning problems, often used to differentiate frontier models on hard mathematical problem-solving. It typically requires extended multi-step derivations and careful symbolic manipulation.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: ",L2
ScreenShot-Pro,https://gui-agent.github.io/grounding-leaderboard/,https://arxiv.org/abs/2504.07981,ScreenShot-Pro (often appearing on GUI grounding leaderboards) evaluates understanding of software screenshots and the ability to answer questions or take grounded actions based on UI elements. It stresses precise spatial and semantic interpretation of interface components under high-resolution inputs.,"L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements (minor), Working Memory (minor), Decision-making (minor)
L3: ",L2
CharXiv Reasoning,https://charxiv.github.io/,https://arxiv.org/abs/2406.18521,"CharXiv Reasoning evaluates reasoning over scientific charts and figures (often sourced from arXiv-style papers), including extracting values, comparing trends, and drawing conclusions supported by the visual evidence. It targets the combination of visual analysis with structured reasoning, often benefiting from calculation tools.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Logical Reasoning, Working Memory (minor), Attention (minor)
L3: ",L2
OmniDocBench 1.5,https://github.com/opendatalab/OmniDocBench,https://arxiv.org/abs/2412.07626,"OmniDocBench 1.5 evaluates document understanding and OCR across diverse layouts, including text blocks, tables, formulas, and reading order. Metrics often emphasize faithful extraction and structural accuracy rather than open-ended reasoning.","L1: Visual Perception, Language Comprehension (minor)
L2: Attention, Working Memory (minor)
L3: ",L2
Video-MMMU,https://videommmu.github.io/,https://arxiv.org/abs/2501.13826,"Video-MMMU extends multimodal understanding to video, requiring models to integrate information across time (multiple frames) to answer questions. It probes temporal coherence in perception and the ability to maintain and update hypotheses as new visual evidence appears.","L1: Visual Perception
L2: Working Memory, Attention, Scene Understanding & Visual Reasoning, Multisensory Integration (minor)
L3: ",L2
LiveCodeBench Pro,https://livecodebenchpro.com/projects/livecodebench-pro/leaderboard,https://arxiv.org/abs/2506.11928,"LiveCodeBench Pro evaluates coding ability on contemporary programming problems with controlled leakage, often scored with execution-based correctness and difficulty-aware aggregation (e.g., Elo). It targets practical algorithmic reasoning and reliable code generation under competitive-style constraints.","L1: Language Production (minor)
L2: Logical Reasoning, Planning, Working Memory
L3: Self-reflection (minor)",L2
FACTS Benchmark Suite,https://deepmind.google/blog/facts-benchmark-suite-systematically-evaluating-the-factuality-of-large-language-models/,https://arxiv.org/abs/2512.10791,"The FACTS Benchmark Suite systematically evaluates factuality and grounding across multiple tasks designed to detect hallucinations, unsupported claims, and citation/attribution failures. It emphasizes whether a model can remain faithful to sources or established truths, especially under uncertainty.","L1: 
L2: Semantic Understanding & Context Recognition, Decision-making (minor), Working Memory (minor)
L3: Inhibitory Control, Self-reflection",L3
SimpleQA Verified,https://www.kaggle.com/benchmarks/deepmind/simpleqa-verified,https://arxiv.org/abs/2509.07968,"SimpleQA Verified is a factual question answering benchmark with verified ground truth, designed to measure precision on short, unambiguous queries. It is often used to assess basic factual reliability and error rates under straightforward prompting.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor), Self-reflection (minor)",L2
Global PIQA,https://huggingface.co/datasets/mrlbenchmarks/global-piqa-nonparallel,https://arxiv.org/abs/2510.24081,Global PIQA is a multilingual commonsense reasoning benchmark focused on physical interaction and practical understanding across languages. It measures whether models can choose plausible actions or explanations grounded in everyday physical constraints and affordances.,"L1: Language Comprehension (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Spatial Representation & Mapping (minor)
L3: ",L2
MRCR v2 (8-needle),https://huggingface.co/datasets/openai/mrcr,https://arxiv.org/abs/2409.12640,"MRCR v2 (8-needle) is a long-context evaluation where multiple similar “needle” requests are embedded across a long conversation or document, and the model must retrieve the correct referenced content. It stresses precise cross-reference resolution under heavy distractors and long-range dependencies.","L1: Language Comprehension
L2: Working Memory, Attention
L3: Inhibitory Control (minor)",L2
GDPval,https://openai.com/index/gdpval/,https://arxiv.org/abs/2510.04374,"GDPval evaluates economically valuable, well-specified knowledge work across dozens of occupations, judging whether models can produce professional artifacts (e.g., spreadsheets, presentations, schedules) that meet requirements. It emphasizes end-to-end task execution quality as assessed by expert human raters.","L1: Language Production
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Self-reflection (minor)",L2
SWE-Lancer,https://openai.com/index/swe-lancer/,https://arxiv.org/abs/2502.12115,"SWE-Lancer evaluates agentic software engineering in settings that emphasize realistic development workflows and longer-horizon problem solving than isolated coding questions. Models must understand a codebase, choose effective actions, and deliver correct patches that satisfy task constraints.","L1: 
L2: Planning, Logical Reasoning, Decision-making, Working Memory
L3: Self-reflection (minor)",L2
Graphwalks,https://huggingface.co/datasets/openai/graphwalks,,"Graphwalks evaluates long-context structured reasoning by asking models to traverse or query graph-like structures described in text, often with many nodes and distractors. It tests whether models can reliably follow multi-hop relations and produce exact outputs despite scale.","L1: 
L2: Working Memory, Logical Reasoning, Attention, Planning (minor), Spatial Representation & Mapping (minor)
L3: ",L2
Toolathon,https://toolathlon.xyz,https://arxiv.org/abs/2510.25726,"Toolathon evaluates whether models can solve tasks by selecting, sequencing, and correctly using a diverse set of tools under realistic constraints. It emphasizes workflow composition, error handling, and adapting strategies when tools fail or return unexpected outputs.","L1: 
L2: Planning, Decision-making, Working Memory
L3: Cognitive Flexibility, Self-reflection (minor)",L3
HMMT,https://matharena.ai/?view=problem&comp=hmmt--hmmt_feb_2025,https://arxiv.org/abs/2505.23281,"HMMT is a competition-math benchmark based on Harvard-MIT Mathematics Tournament problems, typically requiring deeper insight and multi-step solutions than standard exams. It targets robust mathematical reasoning and the ability to manage complex intermediate states without drifting.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: ",L2
FrontierMath,https://epoch.ai/frontiermath,https://arxiv.org/abs/2411.04872,"FrontierMath is a research-grade benchmark of expert-level mathematics intended to test the limits of current models on hard, novel problems, often stratified by difficulty tiers. It emphasizes sustained multi-step reasoning, formal manipulation, and high precision under very challenging conditions.","L1: 
L2: Logical Reasoning, Working Memory, Planning
L3: Self-reflection (minor)",L2
